ano,id_candidato_bd,genero,valor_receita
2016,1047772,feminino,7924.8
2016,1048533,masculino,4510.5599999999995
2016,1048553,masculino,1000.0
2016,1048565,masculino,412.0
2016,1048638,feminino,10200.0
2016,1048671,feminino,37000.0
2016,1049741,masculino,1660.0
2016,105127,feminino,200.0
2016,1051322,masculino,18000.06
2016,1051479,masculino,225.0
2016,1051484,masculino,1050.0
2016,10519,masculino,4416.0
2016,1052083,masculino,9400.0
2016,1052087,masculino,632.26
2016,105224,masculino,11819.91
2016,105343,feminino,2029.0
2016,1053819,masculino,400.0
2016,1054769,masculino,1200.0
2016,1054812,masculino,39185.43
2016,1054851,masculino,22579.56
2016,105526,masculino,1200.0
2016,1055858,masculino,549.5
2016,1055891,masculino,6700.0
2016,1055914,feminino,748.0
2016,1055945,feminino,800.0
2016,1056017,masculino,415.07
2016,1056028,masculino,25860.0
2016,1056042,masculino,2047.59
2016,1056098,masculino,23883.0
2016,1056113,masculino,1106.0
2016,1056187,masculino,26953.260000000002
2016,105694,masculino,2445.5
2016,1057047,masculino,5800.0
2016,1057618,masculino,77802.42
2016,1057638,feminino,1519.2
2016,1058038,feminino,4876.28
2016,1058452,feminino,400.0
2016,1058453,masculino,3668.0
2016,1058458,masculino,15740.0
2016,1058533,masculino,3626.8
2016,1058565,masculino,9906.0
2016,106008,masculino,1430.1399999999999
2016,106106,masculino,3630.1
2016,106122,masculino,343.59000000000003
2016,1061383,masculino,200.0
2016,1062016,masculino,1355.32
2016,1063100,feminino,512.5
2016,1064204,masculino,6027.66
2016,1064377,masculino,27500.1
2016,1064457,masculino,3248.0
2016,1065131,masculino,5200.05
2016,106559,feminino,250.0
2016,1065911,masculino,8192.0
2016,1067939,feminino,21096.0
2016,1068139,masculino,5100.0
2016,106875,masculino,85.0
2016,106938,masculino,85.0
2016,107028,feminino,600.0
2016,107070,masculino,3431.3199999999997
2016,1071,feminino,2175.79
2016,1071100,masculino,12600.0
2016,107131,feminino,1100.0
2016,1073034,masculino,6000.0
2016,1073163,masculino,850.0
2016,107318,feminino,100.0
2016,1073979,masculino,22391.64
2016,107450,masculino,375.0
2016,1077352,feminino,1047.37
2016,10774,masculino,8107.12
2016,107763,masculino,8560.0
2016,1077846,feminino,16532.0
2016,107798,masculino,2030.32
2016,107804,masculino,515.0
2016,107819,feminino,340.0
2016,107824,masculino,400.0
2016,107874,masculino,547.6600000000001
2016,1079214,masculino,170.0
2016,107933,masculino,1620.0
2016,10795,masculino,150.0
2016,108192,masculino,4338.0
2016,1082163,masculino,31572.0
2016,1082762,masculino,363.26
2016,1082967,masculino,13380.0
2016,1082968,masculino,1200.0
2016,1082971,masculino,768.0
2016,1083857,masculino,945.0
2016,1084325,masculino,400.0
2016,1084334,masculino,19200.0
2016,1084467,feminino,30495.48
2016,1084494,masculino,2212.4
2016,1085021,feminino,360.0
2016,1085102,feminino,200.0
2016,1086216,masculino,3400.0
2016,108643,masculino,250.0
2016,108652,masculino,100.0
2016,1086539,masculino,7052.0
2016,10877,masculino,20050.12
2016,1087717,masculino,2610.0
2016,10880,masculino,8325.0
2016,108871,masculino,3230.0
2016,1088762,feminino,4550.0
2016,1088802,feminino,10590.0
2016,1088804,masculino,1100.0
2016,1089129,feminino,250.0
2016,1089637,feminino,400.0
2016,1090345,masculino,19625.0
2016,1090354,masculino,30220.35
2016,1091164,masculino,98400.0
2016,1091167,masculino,8064.74
2016,1091302,masculino,56150.34
2016,1091310,masculino,450.0
2016,109176,masculino,6840.0
2016,109201,masculino,475.0
2016,1094000,masculino,7114.67
2016,1094083,masculino,54984.09
2016,1094651,masculino,1851.93
2016,1094656,masculino,1862.0
2016,10950,masculino,4529.95
2016,10953,masculino,2002.55
2016,1095885,masculino,1000.0
2016,1095894,masculino,455.02
2016,1095911,masculino,2320.0
2016,1096148,masculino,180.0
2016,10965,masculino,12530.0
2016,1097911,masculino,5542.66
2016,1097926,feminino,274.44
2016,10981,masculino,13708.6
2016,109824,feminino,180.0
2016,1099048,masculino,1461.25
2016,11008,masculino,1680.0
2016,1101264,masculino,62530.5
2016,11014,masculino,1191.33
